DATE,MIWASH1LFN
2000-01-01,185811.416666666667
2001-01-01,190908.833333333333
2002-01-01,185034.083333333333
2003-01-01,184029.500000000000
2004-01-01,187648.083333333333
2005-01-01,189925.333333333333
2006-01-01,190166.666666666667
2007-01-01,188362.333333333333
2008-01-01,186420.750000000000
2009-01-01,185329.500000000000
2010-01-01,182801.333333333333
2011-01-01,180796.416666666667
2012-01-01,181611.250000000000
2013-01-01,183727.250000000000
2014-01-01,187194.333333333333
2015-01-01,188323.250000000000
2016-01-01,191443.333333333333
2017-01-01,193957.333333333333
2018-01-01,195925.666666666667
